timestamp,source,match_id,home_team,away_team,home_win,draw,away_win,home_or_draw,away_or_draw,home_or_away,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5,both_teams_score_yes,both_teams_score_no
2025-06-15T21:07:24.440228,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.6,3.5,1.24,1.74,1.23,,,1.75,1.95,2.9,1.36,1.62,2.15
2025-06-15T21:07:34.856605,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.6,3.5,1.24,1.74,1.23,,,1.75,1.95,2.9,1.36,1.62,2.15
2025-06-15T21:07:45.298528,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.6,3.5,1.26,1.74,1.25,,,1.75,1.95,2.9,1.36,1.62,2.1
2025-06-15T21:07:55.694273,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.6,3.4,1.26,1.71,1.24,,,1.75,1.95,2.9,1.36,1.62,2.1
2025-06-15T21:08:06.091469,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.6,3.4,1.26,1.71,1.24,,,1.75,1.95,2.9,1.36,1.62,2.1
2025-06-15T21:08:16.512744,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.6,3.4,1.26,1.71,1.24,,,1.75,1.95,2.9,1.36,1.62,2.1
2025-06-15T21:08:26.895702,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.6,3.4,1.26,1.71,1.24,,,1.75,1.95,2.9,1.36,1.62,2.1
2025-06-15T21:08:37.265481,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.6,3.4,1.26,1.71,1.24,,,1.75,1.95,2.9,1.36,1.62,2.1
2025-06-15T21:08:47.698689,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.5,3.4,1.25,1.69,1.24,,,1.8,1.9,2.9,1.36,1.62,2.1
2025-06-15T21:08:58.191319,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.75,1.95,2.9,1.36,1.62,2.1
2025-06-15T21:09:08.721572,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.8,1.9,2.9,1.36,1.67,2.05
2025-06-15T21:09:19.211566,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:09:29.673015,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:09:40.223700,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:09:50.645322,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:10:01.001134,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:10:11.529322,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.85,1.85,3.0,1.33,1.67,2.05
2025-06-15T21:10:21.969171,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.72,2.0,2.75,1.38,1.6,2.15
2025-06-15T21:10:32.397024,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.72,2.0,2.75,1.38,1.6,2.15
2025-06-15T21:10:42.914260,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.72,2.0,2.75,1.38,1.6,2.15
2025-06-15T21:10:53.407117,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.72,2.0,2.75,1.38,1.6,2.15
2025-06-15T21:11:03.629670,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.72,2.0,2.75,1.38,1.6,2.15
2025-06-15T21:11:14.121061,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.6,1.23,1.74,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:11:24.519785,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.6,3.6,1.24,1.76,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:11:34.873116,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.6,3.6,1.24,1.76,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:11:45.275921,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.6,3.6,1.24,1.76,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:11:55.662375,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.6,1.22,1.76,1.22,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:12:06.040522,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.6,1.22,1.76,1.22,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:12:16.509906,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.6,1.22,1.76,1.22,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:12:26.935899,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.6,1.22,1.76,1.22,,,1.75,1.95,2.9,1.36,1.65,2.1
2025-06-15T21:12:37.405856,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.5,3.75,1.21,1.77,1.24,,,1.75,1.95,2.9,1.36,1.65,2.1
